num_vehicle,vin
1343313,6Z000712
1343375,AW597342
1343413,6J003192
1343851,3J508815
1343875,AJ869223
1344375,BT521768
1344475,BL028093
1344875,BS033502
1345475,BL518582
1345551,3A002134
1345713,6Y502051
1345936,2L001518
1345975,BS141037
1346013,6Z000771
1346336,2W003189
1346475,BY061583
1346513,6Y501949
1346675,P88568334
1346751,3J509440
1346951,3E500049
1347075,P11871452
1347113,6S007379
1347736,2W003283
1348075,BL025831
1348175,BW551169
1349075,BL522507
1349175,BY540896
1349251,3E500405
1349475,BP008191
1349775,BY061588
1350175,BY538007
1350375,BS029449
1350413,6Z000810
1351013,6Y501980
1352675,BY542303
1352775,BL017480
1353013,6Y501952
1353613,6Y502185
1353651,3W002472
1354575,P88568371
1354751,3J508763
1354913,6Y502184
1355075,P11883412
1355113,6Y502116
1355451,3L005560
1355513,5L001252
1355713,6Z000806
1355836,2Y002203
1355913,6L007665
1356313,6S007271
1356613,6L502865
1356675,BW022682
1357051,3E001500
1357313,6Y501807
1357413,6S005544
1357851,3J507926
1358075,BL029352
1358113,6Y502067
1358375,BW506808
1358975,AS309525
1359013,6Y502117
1359351,3L004686
1359413,6Z000775
1359451,3L004813
1359475,BJ524511
1360051,3Y012356
1360351,3J001942
1360613,6Y502048
1360713,7S003065
1361036,2L001357
1361151,3E001442
1361275,BY547366
1361475,BT510765
1361513,6Y502024
1361675,BL522444
1362075,BT521769
1362175,BT508062
1362513,6J002965
1362651,3A002353
1362875,AJ871613
1363013,6S006858
1363813,6Y502129
1364375,AX517748
1364913,6J010790
1365175,P11977794
1365513,6S006330
1365551,3A001682
1365613,6L007951
1365713,6J003109
1365836,2Y002116
1365875,P88568936
1365951,3A002131
1366275,BL033837
1366375,BT512185
1366551,3W002324
1366636,2Y002129
1366775,BL523178
1367613,6Y501958
1367736,2Y001503
1367775,BJ592249
1368813,6Y502022
1369175,BW022677
1369375,BT514564
1369975,BL025967
1370513,6S006451
1370613,P67735448
1370613,X67735448
1371113,6L502876
1371175,AX517822
1371375,BL025274
1371413,6L007669
1372151,3E001296
1372175,BS110151
1372213,6Y502060
1372351,3A002380
1372375,BJ633522
1372536,2Y002267
1372575,AJ855041
1373113,6J003084
1373375,AJ861608
1373775,BJ557632
1373851,3Y010735
1373875,BJ543990
1373875,BJ557633
1374151,3A002351
1374636,2W002646
1374913,6L502860
1375136,2W003171
1375175,BX506606
1375213,6Y502121
1375275,BA551929
1375513,6Y502126
1375613,PL502838
1375713,6L502726
1375975,BJ557635
1376675,BZ008754
1377013,6L502817
1377275,BA539414
1377313,5L001250
1377613,6L502470
1377713,6W003690
1377875,BL525582
1378151,2X001059
1378636,2Y002026
1378675,P88569873
1378813,6L502916
1378875,P8856848
1378913,6Y502148
1378975,P88569836
1379451,3Y014064
1379713,6Z000768
1379775,P88571561
1380013,6W016747
1380075,BL036253
1380113,6S007598
1380275,BJ513718
1380451,3Y013948
1380636,2L001688
1380675,BJ636739
1380913,P67735366
1381213,6S007723
1381375,AW605013
1381436,2Y001515
1381813,5L503545
1381851,3E001476
1382075,P88569451
1382336,2L001594
1382475,AE099318
1382813,5L502741
1383175,BP008809
1383275,P88572604
1384036,2Y001845
1384251,3Y015013
1384275,BJ631944
1384336,2Y001544
1385051,3Y012625
1385113,6L502921
1385275,BY548132
1385436,2Y002207
1385675,BJ631942
1385951,3Y010371
1386113,6Y502014
1386313,6J020345
1386475,AS245240
1386975,P11916376
1387036,2S001639
1387275,BT514565
1387775,BP008194
1387913,6L006744
1387951,3W003189
1388251,3Y012185
1388375,BJ633533
1388713,6S005845
1388936,2Y002042
1389313,6W016643
1389575,BS104228
1389951,3Y014225
1389975,BJ590661
1390051,3Y011898
1390151,3Y014065
1390651,3Y014028
1390713,6S007643
1391013,6Y501989
1391375,BJ615270
1391551,3Y011046
1391675,BJ618308
1391775,BJ597404
1391975,BJ617228
1392013,6Y501801
1392413,6Y502023
1392613,6L502948
1392975,BJ618312
1393051,3Y014474
1393375,BJ600573
1393475,BJ618311
1393551,3J005644
1393636,2S001727
1393675,BJ618309
1393875,BJ595454
1394113,6J010806
1394175,BJ548185
1394475,BJ570884
1394713,6L502932
1394875,BJ532125
1395113,6L502901
1395213,6L502929
1395413,6L502946
1395675,BX506892
1395975,BX506888
1396975,BX507240
1397013,6Y501437
1397113,6L007591
1397151,3U000322
1397313,6Z000824
1397936,2U001327
1397975,BZ017864
1398013,6S007743
1398075,BZ018904
1398375,BZ020301
1398475,BZ020929
1398675,BZ021780
1398875,BZ021781
1400213,6Y502396
1400475,BY060611
1400551,3E001507
1400575,P88570156
1400675,BA546138
1400713,6L502935
1401013,6S006608
1401113,6S006660
1401136,2L001760
1401375,AX514248
1401475,BY539397
1401651,3J002260
1401913,6S007967
1402013,6S006094
1402036,2Y001573
1402075,BX507566
1402313,6Y502050
1402375,AX514240
1402475,AX514219
1402551,3J002271
1402736,2W002996
1402813,6Y501973
1402913,6W016256
1403175,BJ570896
1404013,6Z000828
1404075,BL525581
1404275,BS146751
1404313,6W015225
1404475,BS150069
1404513,6S006340
1404536,2S001755
1404875,BX507241
1405113,6Z000778
1405313,6Z000779
1405351,3L005563
1405475,BS151676
1405513,6Z000772
1405675,BJ620732
1406175,AJ843871
1406436,2S001632
1406475,BJ641880
1406513,5L503406
1406575,BY548128
1407175,BJ570905
1407313,6J020350
1407475,BJ615215
1407713,6Y501294
1407975,BS141041
1408413,6J003128
1408513,6S006387
1409351,3E001276
1409436,2G500617
1409551,3E001509
1409975,P11976644
1410251,3Y014061
1410451,3Y010532
1410813,6S007805
1410875,BP008617
1411136,2J001540
1411275,BS029438
1411613,6Z000777
1411736,2Y002025
1411975,BS146750
1412475,BL024277
1412513,6L007831
1412575,BS033539
1412675,BY554633
1413175,BY548138
1413475,BJ583597
1414113,6Z000849
1414375,BW515000
1414836,2P001209
1414913,6J003148
1415275,BJ513328
1415775,P88571733
1416013,6L502927
1416075,P88571697
1416151,3E001741
1416551,3L005615
1416575,P88570600
1416713,6J010807
1417075,AW602129
1417175,BW507387
1417775,BX507552
1418051,3W002139
1418075,BJ570907
1418175,BJ617164
1418775,AX514225
1418836,2S001739
1418975,AX514249
1419175,AX516689
1419475,AX516690
1419575,AX516694
1419875,AX514680
1419975,AX514233
1420313,6W003144
1421375,AX516688
1421513,6J003048
1421536,2Y001245
1421751,3Y010687
1421813,6Y501939
1421975,AX516704
1422375,AX514677
1422436,2Y001522
1423075,BS141042
1423551,3E001591
1423913,7L500601
1423975,BJ513736
1424436,2L001790
1425651,3W001439
1426136,2G500612
1426675,BA553304
1426813,6Z000848
1427336,2Y001254
1427413,6L007887
1427625,DT501277
1427736,2L001761
1427875,P88573771
1427913,6S006328
1428213,6S006501
1428736,2L001739
1428913,6Y501876
1429175,BJ570924
1429275,BL527027
1429375,BY012841
1429513,6J010808
1429613,6J010814
1429713,6J010819
1429751,3J002018
1429913,6J010802
1430575,BZ021778
1431051,3J002253
1431175,BZ022313
1431475,BZ023446
1431575,BZ023696
1431713,6Y502638
1432075,BZ024281
1432175,BW501307
1432375,BX507562
1432875,BX507232
1432913,6Y502258
1433013,6S007616
1433051,3A001434
1433213,6S006195
1433313,6L502983
1433336,2W007260
1434813,6Z000792
1434851,3L005608
1435251,3U000276
1435513,6J011097
1435713,6J011108
1435751,3U000373
1435836,2S001794
1435936,2Y001614
1436813,6L007682
1437213,6W016750
1437313,6S007815
1437513,6S007648
1437713,C67699184
1437751,3A002046
1437813,P67707395
1438013,6L007677
1438113,6S005960
1438413,6L007395
1439451,3J508750
1440213,6L503002
1441113,6J003050
1441413,6Y502101
1441536,2Y001802
1441613,6Y502367
1442513,6Z000829
1442613,6Z000830
1443013,6L502956
1443451,3E001229
1443651,3W001502
1443713,6L007480
1443913,6Y502639
1444813,6Z000780
1445051,3U001676
1445213,6J010828
1445613,6S007921
1446113,6Y503045
1446574,AW572647
1446613,6S007881
1446736,2Y002875
1446851,3J508744
1447636,P26171145
1447851,3W003128
1448151,3A002525
1448213,6S007834
1448251,3A002367
1449036,2Y002384
1449113,6Y501935
1449151,3J005557
1449313,6Y501877
1449451,3L005677
1450213,6L502972
1450251,3A002376
1450413,6L502086
1450513,6S005389
1450636,2S001831
1451013,6Y502911
1451136,2W003086
1452051,3W003062
1453336,2L001773
1454251,3U000328
1454551,3W002102
1454651,3U000319
1455113,6J003083
1455713,6Y501325
1456813,6Z000832
1458136,2L001629
1458813,6Y502150
1459036,2Y001580
1460713,7L500318
1461036,2L001702
1461313,6S005851
1461813,6S007534
1461913,6S006326
1462336,2Y001836
1462536,2L001686
1464013,6L503034
1465013,6S007303
1465513,6L007978
1465536,2W003226
1466651,3L005694
1467413,6Z000839
1467636,2U001015
1467836,2Y002159
1469951,4L500095
1470051,P47302128
1471213,6J003177
1471513,6J003178
1471813,6J020002
1473173,6L007772
1473213,6J003184
1473813,6S006324
1475713,6Z000857
1476351,4J513924
1477213,6Y501942
1477251,4L500307
1477413,6J010849
1478013,6Z000863
1478451,4J514050
1478951,4Y000331
1479013,6Y501945
1479536,2W003596
1480751,4Y060269
1481536,2Y001786
1482336,2Y001524
1482436,2Y001528
1483451,4W062458
1486251,4S024152
1486436,2W063424
1486636,2W003458
1486751,4J000511
1487036,2Y002776
1488936,2W003240
1490051,4L001053
1491551,4S024447
1492136,2L001881
1492851,4J514023
1493536,2L001859
1493836,2U001391
1495636,2L001804
1496161,6S006837
1496461,7Y500868
1497561,7S004970
1497661,7L500212
1498961,6J011023
1499161,7L500295
1499561,7Y500752
1499951,4S024232
1500161,7A000479
1500661,7L500279
1500761,7Y500927
1501261,7L500283
1501751,3U000333
1502261,7J005176
1502736,2J001412
1503061,P67735188
1503061,X67735188
1503061,X77351188
1504561,7J003732
1505961,7W001249
1506261,7L500281
1507861,P67704049
1507961,P67699392
1508261,6Y502651
1508561,6L007983
1509261,7Y501324
1510761,7J002276
1513636,2G002610
1513936,2W003242
1517051,3E500208
1518951,3E001407
1519651,3E001343
1519951,3W002843
1521851,3W003034
1522736,2L001878
1522951,3Y012626
1523736,2W003440
1526051,3A002370
1527051,3U000348
1528136,2Y002541
1528551,3L005605
1529036,2Y001514
1532436,2W002864
1543374,AZ027147
1543474,AY560049
1543874,AJ650441
1544336,2Y002834
1544351,3Y013783
1544751,3Y011272
1545051,3E001749
1545336,2Y002818
1545374,AJ754068
1546136,2Y002578
1546374,AX509022
1547174,AJ692477
1547274,AJ708688
1547374,AX512619
1547774,AY143119
1548074,AW094232
1549736,2L001943
1549936,2S001764
1550074,AP010568
1550174,AZ027149
1550874,AZ044259
1550974,AZ044260
